Fish_Individual_ID,Fork_Length,Total_Length,Round_Weight,Sex_ID,Assessed_Fish_Age,Assessed_Age_Confidence
700135938,880,904,5386,2,12,7
150671,372,398,565,2,4,8
700118355,240,257,105,2,4,9
700052788,520,553,1518,2,15,8
700109546,494,528,889,1,2,6
700136963,176,200,53,4,5,9
700078768,303,325,295,4,4,8
700078673,515,545,740,2,5,6
700142559,526,555,1481,1,15,8
700043231,480,480,622,3,9,6
700095471,254,272,162,1,3,9
700066827,317,350,378,2,13,4
700041600,481,509,660,2,3,7
700074283,328,341,574,2,4,6
156747,474,505,1330,1,10,9
700045928,460,510,1573,1,16,7
69979,338,352,502,1,3,6
130827,335,352,350,1,4,9
154835,534,569,1140,2,4,8
700048763,406,450,877,1,19,6
700054889,285,306,347,,5,7
700095414,400,435,912,4,7,6
700086982,493,525,1197,2,10,7
700122522,305,330,226,1,8,8
700132726,376,401,469,1,8,9
700060230,225,237,165,4,8,9
118794,590,628,1300,2,4,6
111245,308,326,290,1,4,9
700073295,535,564,1164,1,6,7
700052667,175,194,55,2,6,9
700123576,154,175,42,2,5,6
700103827,354,384,712,4,6,7
700066396,300,332,380,2,13,6
700074409,318,340,298,4,3,9
700074174,371,412,500,2,4,7
700126319,421,497,1000,1,15,9
1400070434,230,245,200,1,3,7
700040466,223,231,138,,6,7
700029110,235,262,167,2,8,8
700136045,292,310,245,1,3,9
700120125,280,300,222,1,3,9
700120838,296,331,293,2,6,9
700142329,354,371,,,7,6
1400059253,496,536,826,2,3,7
700054377,516,570,1700,,10,8
700036197,387,409,622,1,6,9
700047403,428,463,1103,,13,6
700052431,380,407,560,1,4,9
700042463,235,247,206,2,4,6
700034648,494,546,1698,2,25,7
700038020,411,467,851,2,11,6
700136937,471,510,1512,2,9,6
700049324,333,384,509,2,3,9
110877,440,470,950,2,9,9
700098880,287,306,247,4,4,9
700082642,465,492,1038,2,13,8
700076103,403,428,980,4,4,7
700043387,360,381,689,4,4,9
700052038,165,187,46,2,5,8
700111749,459,503,,,6,6
700090950,499,532,1289,2,11,8
700084715,325,348,470,4,5,9
153450,411,439,740,1,16,9
700049800,420,451,1190,,6,6
66437,412,428,1200,1,2,9
700049315,447,494,1200,1,19,6
700072612,551,579,1647,2,13,8
700064548,449,470,770,2,12,9
73250,202,214,105,2,3,8
700065470,446,483,1321,4,18,6
700134005,485,529,1639,,16,5
175095,506,540,840,2,5,7
700033353,540,601,1990,1,13,7
700106227,206,220,78,1,4,9
700121156,415,450,1226,,7,7
700140104,232,266,151,2,9,6
61628,310,320,360,1,3,7
700042246,555,615,1646,2,24,7
700095837,639,676,3525,2,18,7
700057251,468,495,605,1,4,7
168352,335,353,620,2,6,8
700048255,475,526,1136,4,13,7
1400062769,455,484,1640,1,11,6
700134019,469,500,1503,2,11,5
700131218,405,431,676,1,7,9
700057237,284,303,312,4,8,8
700075273,166,173,53,,5,5
700100324,402,427,700,2,6,9
1400071684,442,464,1500,2,13,5
1400087552,246,252,238,2,3,7
700053930,196,220,72,1,3,6
150508,330,348,360,2,4,9
151615,300,320,270,2,5,9
700083345,531,582,1747,1,15,8
1400019648,269,282,165,,4,3
700070220,470,526,1555,2,15,5
700044744,412,458,960,2,22,7
700117657,296,330,261,2,4,9
700102351,311,327,482,2,5,7
700096541,360,377,694,1,4,8
700143205,436,480,995,2,14,8
77549,144,148,36,2,1,9
700032001,396,445,764,2,8,7
700099786,215,232,112,4,3,7
700134151,522,557,1024,1,6,7
700097341,455,512,1290,2,8,8
700044957,404,450,708,2,10,7
700048253,387,420,,,4,8
700133679,195,216,81,1,2,8
700142142,248,265,164,2,4,7
1400037342,290,300,170,2,5,6
111685,272,285,180,1,2,9
89203,460,491,1200,1,8,9
700101900,440,440,520,1,11,7
700082274,225,235,137,,4,4
700079118,395,441,645,2,10,7
700103808,187,210,77,2,4,9
700063265,403,422,1230,,6,7
700137493,543,626,2460,2,28,7
700080998,196,208,124,2,4,8
700032888,258,277,210,1,4,9
700056968,210,232,90,1,5,7
700097271,407,440,840,2,7,7
700102958,187,196,82,2,3,7
148451,300,322,260,2,5,9
700132129,450,490,1215,,10,6
700066099,225,244,166,,3,7
700110565,273,294,246,4,4,7
700104709,398,425,369,1,3,7
700083487,452,502,1165,2,33,8
700110606,380,426,560,2,17,8
700116976,450,485,1261,,11,4
700058598,440,490,950,4,7,8
700097293,486,543,1454,1,10,9
700110510,362,362,293,4,8,6
700091915,352,373,330,4,1,7
1400067892,520,580,1800,1,16,7
700072824,404,437,982,1,7,7
148188,400,424,625,2,6,9
700113557,401,422,732,1,7,8
69990,402,420,895,1,4,8
700140176,341,381,552,1,9,7
149666,520,552,990,2,4,8
700071863,487,524,1745,2,15,6
700045445,561,621,2300,1,19,6
110505,321,341,298,1,5,7
66999,292,303,270,2,2,6
